"id";"descripcion";"nombre"
1;"Dificultad a la hora de digerir lactosa presente en los lacteos";"Intolerancia a la lactosa"
2;"Reaccion inmure al gluten del trigo, cebada y centeno";"Celiaquia"
3;"Niveles elevados de azucar en sangre, requiere controlar carbohidratos";"Diabetes"
4;"Presion arterial alta, requiere controlar el consumo de sodio";"Hipertension"
5;"Exceso de colesterol, requiere reducir grasas saturadas";"Colesterol alto"
6;"Inflamacion del estomago, evitar irritantes y acidos";"Gastritis"
7;"Falta de hierro, se recomienda aumentar alimentos ricos en hierro";"Anemia"
8;"Exceso de peso, requiere control calorico y de azucares";"Obesidad"
9;"Funcion renal reducida, control de sodio, potasio y proteinas";"Insuficiencia renal"
10;"Reaccion alergica al cacahuate y derivados";"Alergia al mani"
